#Species	ID	NCBI_acc_no
Drosophila_melanogaster Dmel  GCF_000001215.4
Folsomia_candida  Fcan  GCF_002217175.1
Artemia_franciscana	Afr1	-
Daphnia_magna	Dmag	GCF_003990815.1
Daphnia_pulex	Dpul	GCA_000187875.1
Eulimnadia_texana	Etex	GCA_002872375.1
Leptestheria_dahalacensis	Ldah	GCA_022114935.1
Lepidurus_apus_lubbocki	Lubb	GCA_003723985.1
Lepidurus_apus_apus	Lapu	GCA_022832285.1
Lepidurus_arcticus	Lart	GCA_003724045.1
Lepidurus_couesii	Lcou	GCA_022832235.1
Triops_longicaudatus	Tlon	GCA_022885665.1
Triops_cancriformis_IT	Tcit	GCA_022832245.1
Triops_cancriformis_ES	Tces	GCA_022832265.1
